Fri, 22 Jul 2022 19:09:43-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:43-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:09:59-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:09:59-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:09-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:09-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:19-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:19-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:29-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:29-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:39-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:39-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:49-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:49-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:10:59-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:10:59-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:09-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:09-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:19-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:19-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:29-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:29-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:39-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:39-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:49-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:49-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:11:59-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:11:59-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:12:09-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:12:09-root-tcpservser.py-[line:110]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:12:14-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:14-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:15-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:15-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:16-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:16-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:17-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:17-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:18-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:18-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:19-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:19-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:20-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:20-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:21-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:21-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:22-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:22-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:23-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:23-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:24-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:24-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:25-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:25-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:26-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:26-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:27-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:27-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:28-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:28-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:29-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:29-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:30-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:30-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:31-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:31-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
Fri, 22 Jul 2022 19:12:32-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'\x00\x00\x80?\xe9\x03\x00\x00 \x00\x00\x00'
Fri, 22 Jul 2022 19:12:32-root-tcpservser.py-[line:106]-INFO-[日志信息]: b'{"body": {"token": "khsdhfaks"}}'
